2025-12-03T08:38:55.183Z [sh]: Setting WiFi Regulatory domain to GB.
2025-12-03T08:38:55.231Z [sh]: /opt/secure/wifi/wpa_supplicant.conf file exists and configurations are present
2025-12-03T08:38:55.271Z [sh]: Country code is present , No need to change
2025-12-03T08:38:55.323Z [sh]: wowlan_triggers already present in /opt/secure/wifi/wpa_supplicant.conf, leaving as is
2025-12-03T08:38:55.200Z sh[3141]:  active
2025-12-03T08:38:55.675Z sh[3238]:  1764751135.628839:    broadcast key
2025-12-03T08:38:55.675Z sh[3238]:  1764751135.628894: wpa_driver_nl80211_set_key: ifindex=6 (wlan0) alg=0 addr=(nil) key_idx=4 set_tx=0 seq_len=0 key_len=0 key_flag=0x10
2025-12-03T08:38:55.675Z sh[3238]:  1764751135.628908: nl80211: DEL_KEY
2025-12-03T08:38:55.675Z sh[3238]:  1764751135.628918:    broadcast key
2025-12-03T08:38:55.675Z sh[3238]:  1764751135.629016: wpa_driver_nl80211_set_key: ifindex=6 (wlan0) alg=0 addr=(nil) key_idx=5 set_tx=0 seq_len=0 key_len=0 key_flag=0x10
2025-12-03T08:38:55.675Z sh[3238]:  1764751135.629033: nl80211: DEL_KEY
2025-12-03T08:38:55.675Z sh[3238]:  1764751135.629042:    broadcast key
2025-12-03T08:38:55.675Z sh[3238]:  1764751135.629087: wlan0: RSN: flushing PMKID list in the driver
2025-12-03T08:38:55.676Z sh[3238]:  1764751135.629097: nl80211: Flush PMKIDs
2025-12-03T08:38:55.676Z sh[3238]:  1764751135.629220: wlan0: State: DISCONNECTED -> INACTIVE
2025-12-03T08:38:55.676Z sh[3238]:  1764751135.664584: wlan0: WPS: UUID based on MAC address: a9822053-1f09-52c6-8042-81b072b4e699
2025-12-03T08:38:57.874Z sh[3238]:  1764751137.870937: ENGINE: Loading builtin engines
2025-12-03T08:38:57.874Z sh[3238]:  1764751137.872322: ENGINE: Loading builtin engines
2025-12-03T08:38:57.874Z sh[3238]:  1764751137.872539: EAPOL: SUPP_PAE entering state DISCONNECTED
2025-12-03T08:38:57.874Z sh[3238]:  1764751137.872552: EAPOL: Supplicant port status: Unauthorized
2025-12-03T08:38:57.875Z sh[3238]:  1764751137.872562: nl80211: Skip set_supp_port(unauthorized) while not associated
2025-12-03T08:38:57.875Z sh[3238]:  1764751137.872569: EAPOL: KEY_RX entering state NO_KEY_RECEIVE
2025-12-03T08:38:57.875Z sh[3238]:  1764751137.872576: EAPOL: SUPP_BE entering state INITIALIZE
2025-12-03T08:38:57.875Z sh[3238]:  1764751137.872584: EAP: EAP entering state DISABLED
2025-12-03T08:38:57.875Z sh[3238]:  1764751137.872779: P2P: Add operating class 81
2025-12-03T08:38:57.875Z sh[3238]:  1764751137.872797: P2P: Channels - hexdump(len=13): 01 02 03 04 05 06 07 08 09 0a 0b 0c 0d
2025-12-03T08:38:57.875Z sh[3238]:  1764751137.873068: P2P: Own listen channel: 81:1
2025-12-03T08:38:57.875Z sh[3238]:  1764751137.873186: P2P: Random operating channel: 81:11
2025-12-03T08:38:57.875Z sh[3238]:  1764751137.873344: P2P: initialized
2025-12-03T08:38:57.875Z sh[3238]:  1764751137.873377: P2P: channels: 81:1,2,3,4,5,6,7,8,9,10,11,12,13
2025-12-03T08:38:57.875Z sh[3238]:  1764751137.873389: P2P: cli_channels:
2025-12-03T08:38:57.875Z sh[3238]:  1764751137.873407: nl80211: Setting wowlan
2025-12-03T08:38:57.875Z sh[3238]:  1764751137.873508: MBO: Update non-preferred channels, non_pref_chan=N/A
2025-12-03T08:38:57.876Z sh[3238]:  1764751137.873670: dbus: Register interface object '/fi/w1/wpa_supplicant1/Interfaces/0'
2025-12-03T08:38:57.879Z sh[3238]:  1764751137.878320: wlan0: Added interface wlan0
2025-12-03T08:38:57.879Z sh[3238]:  1764751137.878360: wlan0: State: INACTIVE -> DISCONNECTED
2025-12-03T08:38:57.879Z sh[3238]:  1764751137.878372: nl80211: Set wlan0 operstate 0->0 (DORMANT)
2025-12-03T08:38:57.879Z sh[3238]:  1764751137.878381: netlink: Operstate: ifindex=6 linkmode=-1 (no change), operstate=5 (IF_OPER_DORMANT)
2025-12-03T08:38:57.879Z sh[3238]:  1764751137.878429: wlan0: Determining shared radio frequencies (max len 2)
2025-12-03T08:38:57.879Z sh[3238]:  1764751137.878443: wlan0: Shared frequencies (len=0): completed iteration
2025-12-03T08:38:57.880Z sh[3238]:  1764751137.878457: P2P: Add operating class 81
2025-12-03T08:38:57.881Z sh[3238]:  1764751137.878468: P2P: Channels - hexdump(len=13): 01 02 03 04 05 06 07 08 09 0a 0b 0c 0d
2025-12-03T08:38:57.881Z sh[3238]:  1764751137.878559: P2P: Update channel list
2025-12-03T08:38:57.881Z sh[3238]:  1764751137.878580: P2P: channels: 81:1,2,3,4,5,6,7,8,9,10,11,12,13
2025-12-03T08:38:57.881Z sh[3238]:  1764751137.878592: P2P: cli_channels:
2025-12-03T08:38:57.882Z sh[3238]:  1764751137.881396: RTM_NEWLINK: ifi_index=6 ifname=wlan0 operstate=2 linkmode=1 ifi_family=0 ifi_flags=0x1003 ([UP])
2025-12-03T08:38:57.882Z sh[3238]:  1764751137.881459: RTM_NEWLINK: ifi_index=6 ifname=wlan0 operstate=2 linkmode=1 ifi_family=0 ifi_flags=0x1003 ([UP])
2025-12-03T08:38:57.896Z sh[3238]:  1764751137.895634: wlan0: Setting bss expiration age: 250 sec
2025-12-03T08:38:57.896Z sh[3238]:  1764751137.895963: wlan0: Setting bss expiration scan count: 2
2025-12-03T08:38:57.896Z sh[3238]:  1764751137.896375: pmf=1
2025-12-03T08:38:57.918Z sh[3238]:  1764751137.916813: wlan0: Add radio work 'scan'@0x18fc68
2025-12-03T08:38:57.918Z sh[3238]:  1764751137.916845: wlan0: First radio work item in the queue - schedule start immediately
2025-12-03T08:38:57.918Z sh[3238]:  1764751137.917020: wlan0: Starting radio work 'scan'@0x18fc68 after 0.000171 second wait
2025-12-03T08:38:57.918Z sh[3238]:  1764751137.917048: wlan0: nl80211: vendor scan request
2025-12-03T08:38:57.919Z sh[3238]:  1764751137.917327: nl80211: Vendor scan requested (ret=0) - scan timeout 30 seconds, scan cookie:0xe1579400
2025-12-03T08:38:57.919Z sh[3238]:  1764751137.917376: nl80211: Drv Event 103 (NL80211_CMD_VENDOR) received for wlan0
2025-12-03T08:38:57.919Z sh[3238]:  1764751137.917387: nl80211: Vendor event: wiphy=0 vendor_id=0x1374 subcmd=106
2025-12-03T08:38:57.919Z sh[3238]:  1764751137.917493: wlan0: Event SCAN_STARTED (47) received
2025-12-03T08:38:57.919Z sh[3238]:  1764751137.917760: wlan0: Own scan request started a scan in 0.000410 seconds
2025-12-03T08:38:58.142Z sh[3238]:  1764751138.141791: random: Got 15/20 bytes from /dev/random
2025-12-03T08:38:58.142Z sh[3238]:  1764751138.141860: random: Got 5/5 bytes from /dev/random
2025-12-03T08:38:58.875Z sh[3238]:  1764751138.873867: EAPOL: disable timer tick
2025-12-03T08:39:01.898Z sh[3238]:  1764751141.895458: nl80211: Drv Event 103 (NL80211_CMD_VENDOR) received for wlan0
2025-12-03T08:39:01.898Z sh[3238]:  1764751141.895496: nl80211: Vendor event: wiphy=0 vendor_id=0x1374 subcmd=107
2025-12-03T08:39:01.898Z sh[3238]:  1764751141.895615: nl80211: Scan probed for SSID ''
2025-12-03T08:39:01.898Z sh[3238]:  1764751141.895625: nl80211: Scan probed for SSID 'TALKTALK695DDE'
2025-12-03T08:39:01.898Z sh[3238]:  1764751141.895653: nl80211: Scan included frequencies: 2412 2417 2422 2427 2432 2437 2442 2447 2452 2457 2462 2467 2472 5180 5200 5220 5240 5260 5280 5300 5320 5500 5520 5540 5560 5580 5600 5620 5640 5660 5680 5700 5720 5745 5765 5785 5805 5825
2025-12-03T08:39:01.898Z sh[3238]:  1764751141.895666: wlan0: Event SCAN_RESULTS (3) received
2025-12-03T08:39:01.898Z sh[3238]:  1764751141.895687: wlan0: Scan completed in 3.977929 seconds
2025-12-03T08:39:01.898Z sh[3238]:  1764751141.895907: nl80211: Received scan results (8 BSSes)
2025-12-03T08:39:01.898Z sh[3238]:  1764751141.896275: wlan0: BSS: Start scan result update 1
2025-12-03T08:39:01.898Z sh[3238]:  1764751141.896302: wlan0: BSS: Add new id 0 BSSID 10:d7:b0:69:5d:dc SSID 'TALKTALK695DDE'
2025-12-03T08:39:01.899Z sh[3238]:  1764751141.896317: dbus: Register BSS object '/fi/w1/wpa_supplicant1/Interfaces/0/BSSs/0'
2025-12-03T08:39:01.904Z sh[3238]:  1764751141.900493: wlan0: BSS: Add new id 1 BSSID 12:d7:b0:69:5d:dd SSID '\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00'
2025-12-03T08:39:01.905Z sh[3238]:  1764751141.900527: dbus: Register BSS object '/fi/w1/wpa_supplicant1/Interfaces/0/BSSs/1'
2025-12-03T08:39:01.905Z sh[3238]:  1764751141.901547: wlan0: BSS: Add new id 2 BSSID b0:0a:d5:57:b3:08 SSID 'Three_56B308'
2025-12-03T08:39:01.905Z sh[3238]:  1764751141.901564: dbus: Register BSS object '/fi/w1/wpa_supplicant1/Interfaces/0/BSSs/2'
2025-12-03T08:39:01.905Z sh[3238]:  1764751141.902677: wlan0: BSS: Add new id 3 BSSID d6:35:1d:75:12:82 SSID 'vodafone75127A'
2025-12-03T08:39:01.905Z sh[3238]:  1764751141.902706: dbus: Register BSS object '/fi/w1/wpa_supplicant1/Interfaces/0/BSSs/3'
2025-12-03T08:39:01.905Z sh[3238]:  1764751141.903794: wlan0: BSS: Add new id 4 BSSID b0:0a:d5:56:b3:08 SSID 'Three_56B308'
2025-12-03T08:39:01.905Z sh[3238]:  1764751141.903811: dbus: Register BSS object '/fi/w1/wpa_supplicant1/Interfaces/0/BSSs/4'
2025-12-03T08:39:01.906Z sh[3238]:  1764751141.906104: wlan0: BSS: Add new id 5 BSSID 28:6d:97:e0:08:83 SSID '[washer] Samsung'
2025-12-03T08:39:01.906Z sh[3238]:  1764751141.906139: dbus: Register BSS object '/fi/w1/wpa_supplicant1/Interfaces/0/BSSs/5'
2025-12-03T08:39:01.908Z sh[3238]:  1764751141.907263: wlan0: BSS: Add new id 6 BSSID 10:d7:b0:69:5d:db SSID 'TALKTALK695DDE'
2025-12-03T08:39:01.908Z sh[3238]:  1764751141.907294: dbus: Register BSS object '/fi/w1/wpa_supplicant1/Interfaces/0/BSSs/6'
2025-12-03T08:39:01.908Z sh[3238]:  1764751141.908547: wlan0: BSS: Add new id 7 BSSID d4:35:1d:75:12:7a SSID 'vodafone75127A'
2025-12-03T08:39:01.908Z sh[3238]:  1764751141.908690: dbus: Register BSS object '/fi/w1/wpa_supplicant1/Interfaces/0/BSSs/7'
2025-12-03T08:39:01.909Z sh[3238]:  1764751141.909876: BSS: last_scan_res_used=8/32
2025-12-03T08:39:01.923Z sh[3238]:  1764751141.923034: wlan0: Scan-only results received
2025-12-03T08:39:01.923Z sh[3238]:  1764751141.923320: wlan0: Radio work 'scan'@0x18fc68 done in 4.006298 seconds
2025-12-03T08:39:01.923Z sh[3238]:  1764751141.923346: wlan0: radio_work_free('scan'@0x18fc68): num_active_works --> 0
2026-01-15T02:46:34.229Z sh[3238]:  1768445194.182111: dbus: Register network object '/fi/w1/wpa_supplicant1/Interfaces/0/Networks/0'
2026-01-15T02:46:34.229Z sh[3238]:  1768445194.186068: wlan0: WPS-PBC-ACTIVE
2026-01-15T02:46:34.229Z sh[3238]:  1768445194.186101: wlan0: Setting scan request: 0.000000 sec
2026-01-15T02:46:34.229Z sh[3238]:  1768445194.186425: wlan0: State: DISCONNECTED -> SCANNING
2026-01-15T02:46:34.229Z sh[3238]:  1768445194.186453: wlan0: Determining shared radio frequencies (max len 2)
2026-01-15T02:46:34.229Z sh[3238]:  1768445194.186467: wlan0: Shared frequencies (len=0): completed iteration
2026-01-15T02:46:34.229Z sh[3238]:  1768445194.186480: P2P: Add operating class 81
2026-01-15T02:46:34.229Z sh[3238]:  1768445194.186491: P2P: Channels - hexdump(len=13): 01 02 03 04 05 06 07 08 09 0a 0b 0c 0d
2026-01-15T02:46:34.229Z sh[3238]:  1768445194.186587: P2P: Update channel list
2026-01-15T02:46:34.230Z sh[3238]:  1768445194.186617: P2P: channels: 81:1,2,3,4,5,6,7,8,9,10,11,12,13
2026-01-15T02:46:34.230Z sh[3238]:  1768445194.186631: P2P: cli_channels:
2026-01-15T02:46:34.230Z sh[3238]:  1768445194.186644: wlan0: Starting AP scan for wildcard SSID
2026-01-15T02:46:34.230Z sh[3238]:  1768445194.186655: wlan0: WPS: Scan only frequency 5280 MHz
2026-01-15T02:46:34.230Z sh[3238]:  1768445194.186676: WPS: Building WPS IE for Probe Request
2026-01-15T02:46:34.230Z sh[3238]:  1768445194.186692: WPS:  * Version (hardcoded 0x10)
2026-01-15T02:46:34.230Z sh[3238]:  1768445194.186703: WPS:  * Request Type
2026-01-15T02:46:34.230Z sh[3238]:  1768445194.186710: WPS:  * Config Methods (3108)
2026-01-15T02:46:34.230Z sh[3238]:  1768445194.186717: WPS:  * UUID-E
2026-01-15T02:46:34.230Z sh[3238]:  1768445194.186723: WPS:  * Primary Device Type
2026-01-15T02:46:34.230Z sh[3238]:  1768445194.186730: WPS:  * RF Bands (3)
2026-01-15T02:46:34.230Z sh[3238]:  1768445194.186736: WPS:  * Association State
2026-01-15T02:46:34.230Z sh[3238]:  1768445194.186742: WPS:  * Configuration Error (0)
2026-01-15T02:46:34.230Z sh[3238]:  1768445194.186749: WPS:  * Device Password ID (4)
2026-01-15T02:46:34.230Z sh[3238]:  1768445194.186755: WPS:  * Manufacturer
2026-01-15T02:46:34.231Z sh[3238]:  1768445194.186761: WPS:  * Model Name
2026-01-15T02:46:34.231Z sh[3238]:  1768445194.186768: WPS:  * Model Number
2026-01-15T02:46:34.231Z sh[3238]:  1768445194.186777: WPS:  * Device Name
2026-01-15T02:46:34.231Z sh[3238]:  1768445194.186786: WPS:  * Version2 (0x20)
2026-01-15T02:46:34.244Z sh[3238]:  1768445194.186794: WPS:  * Request to Enroll (1)
2026-01-15T02:46:34.244Z sh[3238]:  1768445194.186805: P2P: * P2P IE header
2026-01-15T02:46:34.244Z sh[3238]:  1768445194.186811: P2P: * Capability dev=25 group=00
2026-01-15T02:46:34.244Z sh[3238]:  1768445194.186822: P2P: * Listen Channel: Regulatory Class 81 Channel 1
2026-01-15T02:46:34.244Z sh[3238]:  1768445194.186840: wlan0: Add radio work 'scan'@0x18e1d8
2026-01-15T02:46:34.244Z sh[3238]:  1768445194.186854: wlan0: First radio work item in the queue - schedule start immediately
2026-01-15T02:46:34.244Z sh[3238]:  1768445194.186890: wlan0: Starting radio work 'scan'@0x18e1d8 after 0.000034 second wait
2026-01-15T02:46:34.244Z sh[3238]:  1768445194.186910: wlan0: nl80211: vendor scan request
2026-01-15T02:46:34.246Z sh[3238]:  1768445194.187181: nl80211: Vendor scan requested (ret=0) - scan timeout 30 seconds, scan cookie:0xe1578600
2026-01-15T02:46:34.246Z sh[3238]:  1768445194.187236: nl80211: Drv Event 103 (NL80211_CMD_VENDOR) received for wlan0
2026-01-15T02:46:34.246Z sh[3238]:  1768445194.187247: nl80211: Vendor event: wiphy=0 vendor_id=0x1374 subcmd=106
2026-01-15T02:46:34.246Z sh[3238]:  1768445194.187341: wlan0: Event SCAN_STARTED (47) received
2026-01-15T02:46:34.246Z sh[3238]:  1768445194.187360: wlan0: Own scan request started a scan in 0.000159 seconds
2026-01-15T02:46:34.246Z sh[3238]:  1768445194.195027: WPS: Cancel operation - cancel scan
2026-01-15T02:46:34.246Z sh[3238]:  1768445194.195053: wlan0: Cancelling scan request
2026-01-15T02:46:34.246Z sh[3238]:  1768445194.195073: dbus: Unregister network object '/fi/w1/wpa_supplicant1/Interfaces/0/Networks/0'
2026-01-15T02:46:34.246Z sh[3238]:  1768445194.195249: wlan0: WPS-CANCEL
2026-01-15T02:46:34.247Z sh[3238]:  1768445194.211251: dot11RSNAConfigPMKLifetime=604800
2026-01-15T02:46:34.247Z sh[3238]:  1768445194.211930: nl80211: Setting wowlan
2026-01-15T02:46:34.247Z sh[3238]:  1768445194.214900: ap_isolate=0
2026-01-15T02:46:34.272Z sh[3238]:  1768445194.256233: dbus: Register network object '/fi/w1/wpa_supplicant1/Interfaces/0/Networks/0'
2026-01-15T02:46:34.317Z sh[3238]:  1768445194.317607: nl80211: Drv Event 103 (NL80211_CMD_VENDOR) received for wlan0
2026-01-15T02:46:34.317Z sh[3238]:  1768445194.317640: nl80211: Vendor event: wiphy=0 vendor_id=0x1374 subcmd=107
2026-01-15T02:46:34.317Z sh[3238]:  1768445194.317756: nl80211: Scan included frequencies: 5280
2026-01-15T02:46:34.317Z sh[3238]:  1768445194.317770: wlan0: Event SCAN_RESULTS (3) received
2026-01-15T02:46:34.318Z sh[3238]:  1768445194.317790: wlan0: Scan completed in 0.130431 seconds
2026-01-15T02:46:34.318Z sh[3238]:  1768445194.317965: nl80211: Received scan results (8 BSSes)
2026-01-15T02:46:34.318Z sh[3238]:  1768445194.318244: wlan0: BSS: Start scan result update 2
2026-01-15T02:46:34.318Z sh[3238]:  1768445194.318390: BSS: last_scan_res_used=8/32
2026-01-15T02:46:34.318Z sh[3238]:  1768445194.318407: BSS: Not able to find any 5GHz BSSID for SSID 'TALKTALK695DDE'
2026-01-15T02:46:34.318Z sh[3238]:  1768445194.318431: wlan0: New scan results available (own=1 ext=0)
2026-01-15T02:46:34.318Z sh[3238]:  1768445194.318617: WPS: AP 10:d7:b0:69:5d:dc type 0 added
2026-01-15T02:46:34.318Z sh[3238]:  1768445194.318633: WPS: AP b0:0a:d5:57:b3:08 type 0 added
2026-01-15T02:46:34.318Z sh[3238]:  1768445194.318647: WPS: AP d6:35:1d:75:12:82 type 0 added
2026-01-15T02:46:34.318Z sh[3238]:  1768445194.318660: WPS: AP b0:0a:d5:56:b3:08 type 0 added
2026-01-15T02:46:34.319Z sh[3238]:  1768445194.318673: WPS: AP 10:d7:b0:69:5d:db type 0 added
2026-01-15T02:46:34.319Z sh[3238]:  1768445194.318686: WPS: AP d4:35:1d:75:12:7a type 0 added
2026-01-15T02:46:34.319Z sh[3238]:  1768445194.318696: WPS: AP[0] 10:d7:b0:69:5d:dc type=0 tries=0 last_attempt=-1 sec ago bssid_ignore=0
2026-01-15T02:46:34.319Z sh[3238]:  1768445194.318708: WPS: AP[1] b0:0a:d5:57:b3:08 type=0 tries=0 last_attempt=-1 sec ago bssid_ignore=0
2026-01-15T02:46:34.319Z sh[3238]:  1768445194.318718: WPS: AP[2] d6:35:1d:75:12:82 type=0 tries=0 last_attempt=-1 sec ago bssid_ignore=0
2026-01-15T02:46:34.319Z sh[3238]:  1768445194.318729: WPS: AP[3] b0:0a:d5:56:b3:08 type=0 tries=0 last_attempt=-1 sec ago bssid_ignore=0
2026-01-15T02:46:34.319Z sh[3238]:  1768445194.318739: WPS: AP[4] 10:d7:b0:69:5d:db type=0 tries=0 last_attempt=-1 sec ago bssid_ignore=0
2026-01-15T02:46:34.319Z sh[3238]:  1768445194.318749: WPS: AP[5] d4:35:1d:75:12:7a type=0 tries=0 last_attempt=-1 sec ago bssid_ignore=0
2026-01-15T02:46:34.319Z sh[3238]:  1768445194.318767: wlan0: Radio work 'scan'@0x18e1d8 done in 0.131877 seconds
2026-01-15T02:46:34.319Z sh[3238]:  1768445194.318781: wlan0: radio_work_free('scan'@0x18e1d8): num_active_works --> 0
2026-01-15T02:46:34.319Z sh[3238]:  1768445194.318793: wlan0: Selecting BSS from priority group 0
2026-01-15T02:46:34.319Z sh[3238]:  1768445194.318815: wlan0: 0: 10:d7:b0:69:5d:dc ssid='TALKTALK695DDE' wpa_ie_len=0 rsn_ie_len=20 caps=0x111 level=-58 freq=5280  wps
2026-01-15T02:46:34.319Z sh[3238]:  1768445194.318832: wlan0:    skip - disabled
2026-01-15T02:46:34.319Z sh[3238]:  1768445194.318863: wlan0: 1: 12:d7:b0:69:5d:dd ssid='\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00' wpa_ie_len=0 rsn_ie_len=20 caps=0x1111 level=-58 freq=5280
2026-01-15T02:46:34.320Z sh[3238]:  1768445194.318876: wlan0:    skip - disabled
2026-01-15T02:46:34.320Z sh[3238]:  1768445194.318896: wlan0: 2: b0:0a:d5:57:b3:08 ssid='Three_56B308' wpa_ie_len=0 rsn_ie_len=20 caps=0x1531 level=-87 freq=5180  wps
2026-01-15T02:46:34.320Z sh[3238]:  1768445194.318908: wlan0:    skip - disabled
2026-01-15T02:46:34.320Z sh[3238]:  1768445194.318928: wlan0: 3: d6:35:1d:75:12:82 ssid='vodafone75127A' wpa_ie_len=0 rsn_ie_len=20 caps=0x1111 level=-91 freq=5280  wps
2026-01-15T02:46:34.320Z sh[3238]:  1768445194.318941: wlan0:    skip - disabled
2026-01-15T02:46:34.320Z sh[3238]:  1768445194.318961: wlan0: 4: b0:0a:d5:56:b3:08 ssid='Three_56B308' wpa_ie_len=0 rsn_ie_len=20 caps=0x1431 level=-65 freq=2432  wps
2026-01-15T02:46:34.320Z sh[3238]:  1768445194.318974: wlan0:    skip - disabled
2026-01-15T02:46:34.320Z sh[3238]:  1768445194.318993: wlan0: 5: 28:6d:97:e0:08:83 ssid='[washer] Samsung' wpa_ie_len=0 rsn_ie_len=20 caps=0x411 level=-29 freq=2412
2026-01-15T02:46:34.320Z sh[3238]:  1768445194.319005: wlan0:    skip - disabled
2026-01-15T02:46:34.320Z sh[3238]:  1768445194.319025: wlan0: 6: 10:d7:b0:69:5d:db ssid='TALKTALK695DDE' wpa_ie_len=0 rsn_ie_len=20 caps=0x411 level=-48 freq=2437  wps
2026-01-15T02:46:34.320Z sh[3238]:  1768445194.319037: wlan0:    skip - disabled
2026-01-15T02:46:34.320Z sh[3238]:  1768445194.319056: wlan0: 7: d4:35:1d:75:12:7a ssid='vodafone75127A' wpa_ie_len=0 rsn_ie_len=20 caps=0x1411 level=-74 freq=2412  wps
2026-01-15T02:46:34.320Z sh[3238]:  1768445194.319069: wlan0:    skip - disabled
2026-01-15T02:46:34.321Z sh[3238]:  1768445194.319079: wlan0: No suitable network found
2026-01-15T02:46:34.321Z sh[3238]:  1768445194.319092: wlan0: Use normal scan instead of sched_scan for initial scans (normal_scans=1)
2026-01-15T02:46:34.321Z sh[3238]:  1768445194.319103: wlan0: No enabled networks (1 disabled networks)
2026-01-15T02:46:34.321Z sh[3238]:  1768445194.319113: wlan0: Short-circuit new scan request since there are no enabled networks
2026-01-15T02:46:34.321Z sh[3238]:  1768445194.319124: wlan0: State: SCANNING -> INACTIVE
2026-01-15T02:46:34.321Z sh[3238]:  1768445194.319146: wlan0: Determining shared radio frequencies (max len 2)
2026-01-15T02:46:34.321Z sh[3238]:  1768445194.319158: wlan0: Shared frequencies (len=0): completed iteration
2026-01-15T02:46:34.321Z sh[3238]:  1768445194.319170: P2P: Add operating class 81
2026-01-15T02:46:34.321Z sh[3238]:  1768445194.319180: P2P: Channels - hexdump(len=13): 01 02 03 04 05 06 07 08 09 0a 0b 0c 0d
2026-01-15T02:46:34.321Z sh[3238]:  1768445194.319268: P2P: Update channel list
2026-01-15T02:46:34.321Z sh[3238]:  1768445194.319289: P2P: channels: 81:1,2,3,4,5,6,7,8,9,10,11,12,13
2026-01-15T02:46:34.321Z sh[3238]:  1768445194.319300: P2P: cli_channels:
2026-01-15T02:46:34.340Z sh[3238]:  1768445194.339935: wlan0: Scan results matching the currently selected network
2026-01-15T02:46:34.340Z sh[3238]:  1768445194.340002: wlan0: 0: 10:d7:b0:69:5d:dc freq=5280 level=-58 snr=56 est_throughput=390001
2026-01-15T02:46:34.340Z sh[3238]:  1768445194.340041: wlan0: 6: 10:d7:b0:69:5d:db freq=2437 level=-48 snr=66 est_throughput=65000
2026-01-15T02:46:34.340Z sh[3238]:  1768445194.340057: wlan0: Selecting BSS from priority group 0
2026-01-15T02:46:34.340Z sh[3238]:  1768445194.340079: wlan0: 0: 10:d7:b0:69:5d:dc ssid='TALKTALK695DDE' wpa_ie_len=0 rsn_ie_len=20 caps=0x111 level=-58 freq=5280  wps
2026-01-15T02:46:34.340Z sh[3238]:  1768445194.340093: wlan0:    selected based on RSN IE
2026-01-15T02:46:34.340Z sh[3238]:  1768445194.340109: wlan0:    selected BSS 10:d7:b0:69:5d:dc ssid='TALKTALK695DDE'
2026-01-15T02:46:34.340Z sh[3238]:  1768445194.340139: wlan0: Considering connect request: reassociate: 1  selected: 10:d7:b0:69:5d:dc  bssid: 00:00:00:00:00:00  pending: 00:00:00:00:00:00  wpa_state: INACTIVE  ssid=0x192cb0  current_ssid=0x192cb0
2026-01-15T02:46:34.340Z sh[3238]:  1768445194.340155: wlan0: Request association with 10:d7:b0:69:5d:dc
2026-01-15T02:46:34.340Z sh[3238]:  1768445194.340167: MBO: Disable MBO/OCE due to misbehaving AP not having enabled PMF
2026-01-15T02:46:34.340Z sh[3238]:  1768445194.340177: wlan0: No ongoing scan/p2p-scan found to abort
2026-01-15T02:46:34.340Z sh[3238]:  1768445194.340189: wlan0: Add radio work 'connect'@0x19de60
2026-01-15T02:46:34.340Z sh[3238]:  1768445194.340201: wlan0: First radio work item in the queue - schedule start immediately
2026-01-15T02:46:34.384Z sh[3238]:  1768445194.384699: wlan0: Starting radio work 'connect'@0x19de60 after 0.044488 second wait
2026-01-15T02:46:34.385Z sh[3238]:  1768445194.384738: wlan0: WPA: clearing own WPA/RSN IE
2026-01-15T02:46:34.385Z sh[3238]:  1768445194.384751: wlan0: RSN: clearing own RSNXE
2026-01-15T02:46:34.385Z sh[3238]:  1768445194.384764: RSN: PMKSA cache search - network_ctx=0x192cb0 try_opportunistic=0 akmp=0x0
2026-01-15T02:46:34.385Z sh[3238]:  1768445194.384773: RSN: Search for BSSID 10:d7:b0:69:5d:dc
2026-01-15T02:46:34.385Z sh[3238]:  1768445194.384782: RSN: No PMKSA cache entry found
2026-01-15T02:46:34.385Z sh[3238]:  1768445194.384793: wlan0: RSN: using IEEE 802.11i/D9.0
2026-01-15T02:46:34.385Z sh[3238]:  1768445194.384806: wlan0: WPA: Selected cipher suites: group 16 pairwise 16 key_mgmt 2 proto 2
2026-01-15T02:46:34.385Z sh[3238]:  1768445194.384817: wlan0: WPA: Selected mgmt group cipher 32
2026-01-15T02:46:34.385Z sh[3238]:  1768445194.384828: wlan0: WPA: clearing AP WPA IE
2026-01-15T02:46:34.385Z sh[3238]:  1768445194.384837: WPA: set AP RSN IE - hexdump(len=22): 30 14 01 00 00 0f ac 04 01 00 00 0f ac 04 01 00 00 0f ac 02 0c 00
2026-01-15T02:46:34.385Z sh[3238]:  1768445194.384859: wlan0: WPA: clearing AP RSNXE
2026-01-15T02:46:34.385Z sh[3238]:  1768445194.384870: wlan0: WPA: AP group 0x10 network profile group 0x18; available group 0x10
2026-01-15T02:46:34.386Z sh[3238]:  1768445194.384881: wlan0: WPA: using GTK CCMP
2026-01-15T02:46:34.386Z sh[3238]:  1768445194.384893: wlan0: WPA: AP pairwise 0x10 network profile pairwise 0x18; available pairwise 0x10
2026-01-15T02:46:34.386Z sh[3238]:  1768445194.384904: wlan0: WPA: using PTK CCMP
2026-01-15T02:46:34.386Z sh[3238]:  1768445194.384915: wlan0: WPA: AP key_mgmt 0x2 network profile key_mgmt 0x142; available key_mgmt 0x2
2026-01-15T02:46:34.386Z sh[3238]:  1768445194.384926: wlan0: WPA: using KEY_MGMT WPA-PSK
2026-01-15T02:46:34.386Z sh[3238]:  1768445194.386342: wlan0: WPA: AP mgmt_group_cipher 0x20 network profile mgmt_group_cipher 0x0; available mgmt_group_cipher 0x0
